Video Name,Sub_ID,Start,End,Cyclist,Motorcycle,Pedestrian,JayWalk,kid(<5),Teenage (6-16),Middle age (16-35),Middle age (35-65),Old (>65),Male,Female,Multi_Ped,FirstDetection_Timestamp,other,Distraction (cellphone use),Incident,E-scooter
US17-92_@_13TH_ST_10022019_144715,1.0,25545.0,25984.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_144715,9.0,46621.0,47299.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_144715,14.0,71826.0,73011.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_144715,15.0,79848.0,80157.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_144715,17.0,92283.0,92874.0,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10022019_144715,18.0,101818.0,102049.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_144715,19.0,104285.0,104451.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_144715,21.0,106239.0,106661.0,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10022019_154715,1.0,13724.0,14477.0,,,1,,,,1.0,,,,1.0,,,,,,
US17-92_@_13TH_ST_10022019_154715,2.0,14532.0,15287.0,,,1,,,,1.0,,,,1.0,,,,,,
US17-92_@_13TH_ST_10022019_154715,6.0,30566.0,30749.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_154715,7.0,33211.0,33399.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_154715,8.0,35030.0,35434.0,,1.0,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10022019_154715,10.0,59518.0,59919.0,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10022019_154715,11.0,65424.0,66036.0,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10022019_154715,13.0,75053.0,76776.0,,,1,,,,,1.0,,1.0,,,,,,,
US17-92_@_13TH_ST_10022019_154715,14.0,83818.0,84128.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_154715,19.0,102929.0,103062.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_154715,20.0,103255.0,103609.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_164715,2.0,9275.0,9656.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_164715,3.0,11615.0,11791.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_164715,6.0,23560.0,23887.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_164715,11.0,32720.0,33387.0,,,1,,,,,1.0,,1.0,,,,,,,
US17-92_@_13TH_ST_10022019_164715,13.0,35065.0,36243.0,,,,,,,,,,,,,,,,1.0,
US17-92_@_13TH_ST_10022019_164715,14.0,36449.0,37819.0,,,,,,,,,,,,,,,,1.0,
US17-92_@_13TH_ST_10022019_164715,15.0,37847.0,38613.0,,,,,,,,,,,,,,,,1.0,
US17-92_@_13TH_ST_10022019_164715,17.0,39299.0,39726.0,,,,,,,,,,,,,,,,1.0,
US17-92_@_13TH_ST_10022019_164715,18.0,39902.0,40212.0,,,,,,,,,,,,,,,,1.0,
US17-92_@_13TH_ST_10022019_164715,36.0,53728.0,54415.0,,,,,,,,,,,,,,,,1.0,
US17-92_@_13TH_ST_10022019_164715,37.0,54652.0,54977.0,,,,,,,,,,,,,,,,1.0,
US17-92_@_13TH_ST_10022019_164715,38.0,55945.0,56317.0,,,,,,,,,,,,,,,,1.0,
US17-92_@_13TH_ST_10022019_164715,39.0,56857.0,57111.0,,,,,,,,,,,,,,,,1.0,
US17-92_@_13TH_ST_10022019_164715,40.0,57331.0,57648.0,,,,,,,,,,,,,,,,1.0,
US17-92_@_13TH_ST_10022019_164715,41.0,57726.0,58777.0,,,,,,,,,,,,,,,,1.0,
US17-92_@_13TH_ST_10022019_164715,42.0,64221.0,64404.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_164715,46.0,74025.0,74221.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_164715,47.0,74343.0,74527.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_164715,57.0,82090.0,82718.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_164715,72.0,96010.0,96334.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_164715,82.0,101792.0,102134.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_164715,87.0,105689.0,106899.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_174715,2.0,2925.0,7051.0,,1.0,1,,,,,1.0,,1.0,,,,,,,
US17-92_@_13TH_ST_10022019_174715,4.0,8367.0,10487.0,,,1,,,,1.0,,,1.0,,,,,1.0,,
US17-92_@_13TH_ST_10022019_174715,12.0,14709.0,15794.0,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10022019_174715,29.0,30230.0,34365.0,,,1,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_174715,30.0,35719.0,37289.0,,,1,,,,,1.0,,1.0,,,,,,,
US17-92_@_13TH_ST_10022019_174715,31.0,37606.0,39141.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_174715,49.0,70137.0,70753.0,,,1,,,,,1.0,,1.0,,,,,,,
US17-92_@_13TH_ST_10022019_174715,51.0,75121.0,78543.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_174715,57.0,87461.0,87769.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_174715,61.0,98756.0,98935.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_174715,63.0,101234.0,101796.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_184715,2.0,6795.0,7506.0,,,1,,,,1.0,,,,1.0,,,,,,
US17-92_@_13TH_ST_10022019_184715,10.0,12031.0,12320.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_184715,13.0,30077.0,31171.0,,,1,,,,,,,,,1.0,,,,,
US17-92_@_13TH_ST_10022019_184715,15.0,36668.0,36968.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_184715,19.0,52192.0,52577.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_184715,30.0,71256.0,90342.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_184715,34.0,95662.0,97224.0,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10022019_194715,21.0,25596.0,26326.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_194715,31.0,34085.0,34262.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_194715,45.0,63493.0,64469.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_194715,48.0,68399.0,68643.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_194715,49.0,68675.0,68923.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_194715,68.0,101418.0,101832.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10022019_194715,71.0,105962.0,106523.0,,,1,,,,1.0,,,,1.0,,,,,,
US17-92_@_13TH_ST_10032019_074715,1.0,3687.0,3854.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_074715,5.0,13937.0,14571.0,,,1,,,,,1.0,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_074715,6.0,16583.0,20868.0,,,1,,,,1.0,,,,1.0,,,,1.0,,
US17-92_@_13TH_ST_10032019_074715,10.0,25784.0,27164.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_074715,14.0,34363.0,34547.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_074715,16.0,38591.0,38753.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_074715,20.0,43781.0,43974.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_074715,26.0,53205.0,53376.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_074715,28.0,58311.0,58560.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_074715,32.0,68436.0,68618.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_074715,34.0,75951.0,76204.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_074715,43.0,95557.0,96878.0,,,1,,,,,1.0,,,1.0,,,,,,
US17-92_@_13TH_ST_10032019_074715,46.0,99723.0,99922.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_084715,0.0,1507.0,1791.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_084715,2.0,4218.0,4532.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_084715,3.0,5135.0,5377.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_084715,23.0,35070.0,35781.0,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_084715,34.0,55853.0,56535.0,,,1,,,,,1.0,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_084715,37.0,62895.0,63498.0,,,1,,,,1.0,,,1.0,,,,,1.0,,
US17-92_@_13TH_ST_10032019_084715,40.0,65508.0,65695.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_084715,57.0,99217.0,99601.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_094715,0.0,1975.0,2555.0,,,1,,,,,1.0,,,1.0,,,,,,
US17-92_@_13TH_ST_10032019_094715,8.0,24889.0,25238.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_094715,13.0,40083.0,40516.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_094715,19.0,71703.0,72073.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_094715,22.0,80493.0,81070.0,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_094715,24.0,85323.0,85709.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_094715,25.0,89783.0,90318.0,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_104715,1.0,10610.0,11028.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_104715,6.0,21099.0,21336.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_104715,7.0,22740.0,23232.0,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_104715,8.0,25389.0,25818.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_104715,11.0,34182.0,34516.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_104715,13.0,44528.0,45005.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_104715,19.0,72008.0,72165.0,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_104715,21.0,91502.0,91691.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_104715,23.0,99365.0,99568.0,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_114715,1.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_114715,2.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_114715,3.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_114715,4.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_114715,6.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_114715,7.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_114715,8.0,,,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_124715ORG,4.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_124715ORG,5.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_124715ORG,6.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_124715ORG,9.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_124715ORG,10.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_124715ORG,14.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_124715ORG,15.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_124715ORG,16.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_124715ORG,18.0,,,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_124715,5.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_124715,6.0,,,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_124715,8.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_124715,10.0,,,,,1,,,,1.0,,,,1.0,,,,,,
US17-92_@_13TH_ST_10032019_124715,11.0,,,,1.0,1,,,,,1.0,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_124715,12.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_124715,13.0,,,,,1,,,,,,,,,1.0,,,,,
US17-92_@_13TH_ST_10032019_124715,14.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_124715,15.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_134715,30.0,,,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_134715,31.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_134715,38.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_134715,41.0,,,,,1,,,,,1.0,,1.0,,,,,1.0,,
US17-92_@_13TH_ST_10032019_134715,42.0,,,,,1,,,,,1.0,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_134715,45.0,,,,,1,,,,,1.0,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_144715,19.0,,,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_144715,31.0,,,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_144715,38.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_144715,43.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_144715,50.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_144715,54.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_144715,56.0,,,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_154715,1.0,,,,,1,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,2.0,,,1.0,,1,,,,,,,,,1.0,,,,,
US17-92_@_13TH_ST_10032019_154715,3.0,,,,1.0,1,,,,1.0,,,,1.0,,,1.0,,,
US17-92_@_13TH_ST_10032019_154715,8.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,10.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,19.0,,,,,1,,,,,1.0,,,1.0,,,,,,
US17-92_@_13TH_ST_10032019_154715,21.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,23.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,24.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,25.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,32.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,33.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,35.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,36.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,38.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,45.0,,,,,1,,,,,1.0,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_154715,46.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_154715,47.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_164715,0.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_164715,8.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_164715,17.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_164715,28.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_164715,38.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_164715,41.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_164715,42.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_164715,43.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_164715,46.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_164715,53.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_164715,54.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_164715,55.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_174715,27.0,,,,,1,,,,1.0,,,1.0,,,,,,,
US17-92_@_13TH_ST_10032019_174715,29.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_174715,35.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_174715,37.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_174715,38.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_174715,41.0,,,,,1,,,,1.0,,,1.0,,,,,1.0,,
US17-92_@_13TH_ST_10032019_174715,48.0,,,,1.0,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_174715,55.0,,,1.0,,,,,,,,,,,,,,,,
US17-92_@_13TH_ST_10032019_184715,18.0,,,1.0,,,,,,,,,,,,,,,,
