,frameNUM_veh,objectID_veh,p1x_veh,p1y_veh,p2x_veh,p2y_veh,bx_veh,by_veh,cx_veh,cy_veh,zone_veh,course_veh,lostCounter_veh,type_veh,key,frameNUM_ped,objectID_ped,p1x_ped,p1y_ped,p2x_ped,p2y_ped,bx_ped,by_ped,cx_ped,cy_ped,zone_ped,course_ped,lostCounter_ped,type_ped,actual_ped_num,lat,lon,video_name,sub_id,distance,ped_veh_overlap,ped_veh_buffer_intersect,pet,intersection
0,262,17,716,607,820,707,768,657,768,707,4,333.43494882292197,0,2,0,112,2,752,623,785,707,768,665,768,707,4,278.74616226255523,0,0,0,28.624982277212645,-81.32411942992161,HOWELL_BR_@_LK_HOWELL_11012019_122129,34,0.0,1,1,5.0,HOWELL_BR_@_LK_HOWELL
1,263,17,721,601,820,706,770,653,770,706,4,333.43494882292197,0,2,0,118,3,760,640,780,705,770,672,770,705,4,279.46232220802557,0,0,1,28.62498109618599,-81.32411924902458,HOWELL_BR_@_LK_HOWELL_11012019_122129,34,1.0,1,1,4.833333333333333,HOWELL_BR_@_LK_HOWELL
2,3532,179,690,581,813,709,751,645,751,709,4,360.0,0,2,0,3428,171,720,621,780,709,750,665,750,709,4,109.29004621918872,0,0,1,28.624985035478883,-81.32411682627081,HOWELL_BR_@_LK_HOWELL_11012019_122129,37,1.0,1,1,3.466666666666667,HOWELL_BR_@_LK_HOWELL
3,126,1,188,523,387,627,287,575,287,627,2,264.55966796899446,0,2,0,210,6,268,547,307,627,287,587,287,627,2,293.96248897457815,0,0,0,28.624992701439165,-81.3240023362635,HOWELL_BR_@_LK_HOWELL_11022019_103722,8,0.0,1,1,-2.8,HOWELL_BR_@_LK_HOWELL
4,62,4,459,576,633,680,546,628,546,680,4,64.88516511385544,0,2,0,155,6,523,589,566,678,544,633,544,678,4,292.6198649480405,0,0,0,28.62499088920047,-81.32407123795723,HOWELL_BR_@_LK_HOWELL_11022019_103722,8,2.8284271247461903,1,1,-3.1,HOWELL_BR_@_LK_HOWELL
5,106,5,492,586,663,690,577,638,577,690,4,69.62356478616361,0,2,0,148,6,558,601,592,689,575,645,575,689,4,266.6335393365702,0,0,0,28.624992955488477,-81.32408064412631,HOWELL_BR_@_LK_HOWELL_11022019_103722,8,2.23606797749979,1,1,-1.4,HOWELL_BR_@_LK_HOWELL
6,1268,29,736,585,842,705,789,645,789,705,4,45.0,0,2,0,1160,17,763,600,813,704,788,652,788,704,4,86.82016988013577,0,0,0,28.624978765230264,-81.32412217451508,HOWELL_BR_@_LK_HOWELL_11022019_103722,30,1.4142135623730951,1,1,3.6,HOWELL_BR_@_LK_HOWELL
7,2280,97,889,266,974,329,931,297,931,329,4,315.0,0,2,0,2330,1,915,282,949,329,932,305,932,329,4,90.0,0,0,0,28.704870719191057,-81.28148625518944,SR434_@_WINDING_HOLLOW_09272019_073855,7,1.0,1,1,-1.6666666666666667,SR434_@_WINDING_HOLLOW
8,4746,654,252,282,364,373,308,327,308,373,2,136.97493401088198,0,2,0,4889,32,292,305,334,370,313,337,313,370,2,90.0,0,0,0,28.704688682870962,-81.28142943410755,SR434_@_WINDING_HOLLOW_09272019_073855,13,5.830951894845301,1,1,-4.766666666666667,SR434_@_WINDING_HOLLOW
9,5160,666,858,274,952,337,905,305,905,337,4,308.65980825409014,0,2,0,5025,32,889,281,919,336,904,308,904,336,4,85.91438322002512,0,0,0,28.704853670540743,-81.28147204765618,SR434_@_WINDING_HOLLOW_09272019_073855,13,1.4142135623730951,1,1,4.5,SR434_@_WINDING_HOLLOW
